35
LURUUULULLLLULUURUURURUUUURUUUURRUU
#..#........###....A AAA.##..........#...
...####.#.#....#...A .#A#...#.#......#...
.....#..##......#AAA ##A.##.##....#.#....
....#...........#A.. #.A.#...#.......##..
#...#...#....#...A.. .#AA.#..#.....#..#..
....#...##.#....#A.. #..A.#..#..#..#.....
.##......#....#.AA#. .##A.###............
##.......#......A### ..#A..###.#.##......
#.#..#......#...A... ..#A##....#....#..#.
.......#..#.....A#.# ..#AA.#...#.....#...
##.......#...#.AA..# ..#.A#..........#..#
###.#...#.##..AA###. ##..AA#....#...#..#.
....#....##.#.A#..#. ...##A#..###..##..#.
..........#..AA#.### #...AA.#....#...#...
.#..#.......#A#..... #AAAA#.....#..#.....
#..#.........AA#.#.# .A#..#....##..##....
...#...#...#..AAAAA# .A..#.....#......##.
....#....#..##..##AA .A...#...##.........
.....#..#.....##..#A #A...#........#.....
.#..##...#.......#AA AA.##...#.......#.#.
